address_id_a,firm_id,address_type_id,address_1,address_2,city,state,zip,zip_4,display_rr,hours_of_operation,fips,verified,verifiedon,modifiedon,createdon,note,name_id,address_status_id,lng,lat,verified_geo,precision_geo,use_geo,country,geocodedate,google_place_id
1,2,2,78 Acker St E,,Saint Paul,MN,55117,5507,TRUE,,27123,TRUE,32:45.9,55:14.0,55:14.0,,,1,93.09702301,44.96398544,FALSE,,FALSE,USA,45:06.2,
2,5,2,2200 Nicollet Ave,,Minneapolis,MN,55404,3301,FALSE,,27053,TRUE,32:46.0,55:14.0,55:14.0,,,1,93.27783203,44.9605484,FALSE,,FALSE,USA,45:06.2,
3,5,2,6855 Rowland Rd,,Eden Prairie,MN,55344,3209,FALSE,,27053,FALSE,32:46.2,55:14.0,55:14.0,Returned,,5,93.42008209,44.8841362,FALSE,,FALSE,USA,45:06.2,
4,5,2,PO Box 46147,,Eden Prairie,MN,55344,2847,FALSE,,27053,TRUE,32:46.3,55:14.0,55:14.0,,,1,93.4283177,44.8633837,FALSE,,FALSE,USA,13:53.5,
5,5,2,2024 Blackberry Ln,,Wayzata,MN,55391,2006,TRUE,,27053,TRUE,32:46.4,55:14.0,55:14.0,,,1,93.48361206,44.96263885,FALSE,,FALSE,USA,45:06.2,
6,7,2,1408 County Road C W,,Roseville,MN,55113,3198,TRUE,,27123,TRUE,32:46.4,55:14.0,55:14.0,,,1,93.15964508,45.02071381,FALSE,,FALSE,USA,45:06.2,
8,9,2,366 Saint Peter St,,Saint Paul,MN,55102,1302,FALSE,,27123,FALSE,32:46.5,55:14.0,55:14.0,,,1,93.0954895,44.94499207,FALSE,,FALSE,USA,45:06.2,
9,9,2,772 Cleveland Ave S,,Saint Paul,MN,55116,1347,TRUE,,27123,TRUE,32:46.5,55:14.0,55:14.0,,,1,93.1873703,44.91797256,FALSE,,FALSE,USA,45:06.2,
10,10,2,14601 Spring Lake Rd,,Minnetonka,MN,55345,2349,FALSE,,27053,TRUE,18:48.4,18:48.4,55:14.0,,,1,93.46444702,44.9317131,FALSE,,FALSE,USA,45:06.2,
12,10,2,12285 Rush Cir NW,,Elk River,MN,55330,8245,TRUE,,27141,TRUE,45:08.1,18:45.2,55:14.0,,,1,93.57889557,45.32886505,TRUE,ROOFTOP,FALSE,USA,11:12.3,ChIJJR9Lt9pus1IRAOjEBFlOvik
14,14,2,680 Cleveland Ave S,,Saint Paul,MN,55116,1218,TRUE,,27123,TRUE,32:46.6,55:14.0,55:14.0,,,1,93.1873703,44.92099762,FALSE,,FALSE,USA,45:06.2,
15,18,2,100 4th Ave N,,Bayport,MN,55003,1096,TRUE,,27163,TRUE,45:08.2,55:14.0,55:14.0,,,1,92.77912903,45.02087021,FALSE,,FALSE,USA,45:06.2,
16,18,2,39811 Golden Ave,,North Branch,MN,55056,,FALSE,,27025,TRUE,32:46.6,55:14.0,55:14.0,,,1,92.97600555,45.52552414,FALSE,,FALSE,USA,45:06.2,
17,19,2,13118 Tyler St NE,,Blaine,MN,55434,3240,TRUE,,27003,TRUE,32:46.7,55:14.0,55:14.0,,,1,93.24541473,45.20975113,FALSE,,FALSE,USA,45:06.2,
18,22,2,547 County Road E W Ste 205,,Shoreview,MN,55126,7049,FALSE,,27123,TRUE,32:46.7,31:42.0,55:14.0,,,3,93.12368011,45.05050659,FALSE,,FALSE,USA,45:06.2,
20,29,2,430 Industrial Blvd NE,,Minneapolis,MN,55413,2979,TRUE,,27053,TRUE,32:46.8,55:14.0,55:14.0,,,1,93.21163177,44.99467468,FALSE,,FALSE,USA,45:06.2,
