firm_id,company_name,address,city,state,zip,phone,email,url
2,"Able Fence, Inc.",78 Acker St E,Saint Paul,MN,55117,6512224355,,
5,Albin Chapel,2200 Nicollet Ave,Minneapolis,MN,55404,,office@albinchapel.com,http://www.albinchapel.com/
5,Albin Funeral Chapel Inc,6855 Rowland Rd,Eden Prairie,MN,55344,9529149410,jimalbinson@gmail.com,
5,"Albin Endeavor, Inc.",PO Box 46147,Eden Prairie,MN,55344,,,
7,Albrecht Company,1408 County Road C W,Roseville,MN,55113,6516334510,mail@albrechtcompany.com,
7,"Albrecht Enterprises, LLC",,,,,,edward@albrechtcompany.com,
9,Arthur Williams Opticians,366 Saint Peter St,Saint Paul,MN,55102,6516451976,arthurwilliamsoptical@gmail.com,http://www.arthurwilliamsoptical.com/
9,Arthur Williams Optical Inc,772 Cleveland Ave S,Saint Paul,MN,55116,7632242883,,
10,Able Moving & Storage Inc,12285 Rush Cir NW,Elk River,MN,55330,,,
10,Able Transfer,,,,,,,
14,Albrechts,680 Cleveland Ave S,Saint Paul,MN,55116,,,
18,Andersen Corporation,100 4th Ave N,Bayport,MN,55003,,donna.dingle@andersencorp.com,http://www.andersencorp.com
18,Andersen Windows Inc,39811 Golden Ave,North Branch,MN,55056,,jennifer.lamson@andersen.com,
18,Emco Enterprises Inc,,,,,,,
18,Eagle Window and Door,,,,,,,
19,Appearance Reconditioning Co.,13118 Tyler St NE,Blaine,MN,55434,7635593292,,
22,A.C.T.  Asphalt Specialties Company,547 County Road E W Ste 205,Shoreview,MN,55126,,mitch@asphaltmn.com,http://www.asphaltmn.com
22,A C T Specialties,,,,,,office@asphaltmn.com,http://asphaltmn.com
22,Asphalt Specialties Company,,,,,,sales@act-asphaltspecialties.com,http://twitter.com/asphaltmn
29,Anderson Ladd Floors,430 Industrial Blvd NE,Minneapolis,MN,55413,6123314880,,
29,Anderson-Ladd,,,,,,,
29,Haldeman Homme Inc,,,,,,,
30,A D T Security Services,5910 Rice Creek Pkwy STE 700,Shoreview,MN,55126,,,http://www.adt.com
30,American District Telegraph,1 Town Center Rd,Boca Raton,FL,33486,8002387870,,
30,ADT Security Services,14200 E Exposition Ave Stop 2,Aurora,CO,80012,6519170000,,
30,"ADT, LLC",14200 E. Exposition Ave.,Aurora,CO,80012,,,
31,American Family Insurance Group - Headquarters,6131 Blue Circle Dr,Eden Prairie,MN,55343,6082424100,consumeraffairs@amfam.com,http://www.amfam.com
31,American Family Mutual Insurance Company,PO Box 9462,Minneapolis,MN,55440,,jtuzun@amfam.com,
31,American Family Insurance,PO Box 9436,Minneapolis,MN,55440,,,
32,North Land Auto Repair Inc,3009 37th Ave NE,St Anthony,MN,55421,6127889087,,http://www.stanthonyautorepair.com/
33,Auto Electric Co,3800 W Broadway Ave,Minneapolis,MN,55422,,,http://www.autoelectricmn.com
34,Allied Hearing Services,6600 France Ave S Ste 164,Minneapolis,MN,55435,,ehledoux@helixhca.com,
34,Helix Corporation,84 S 9th St,Minneapolis,MN,55402,,,
34,Helix Hearing Care of America,,,,,,,
36,"Anderson Insulation, Inc.",PO Box 298,Shakopee,MN,55379,8009579994,jgeyen@citywideinsul.com,http://www.citywideinsul.com
36,City Wide Insulation Inc,1725 3rd Ave W,Shakopee,MN,55379,,,
36,Carnahan City-Wide Insulation Inc,6834 11th Ave SW,Rochester,MN,55902,,,
37,All Star Travel Inc,339 8th St NW,Saint Paul,MN,55112,6516364644,jodytravelagent@yahoo.com,
43,"Aqua City Plumbing, Inc.",5428 Nicollet Ave,Minneapolis,MN,55419,9528819655,info@aquacityplumbing.com,http://www.aquacityplumbing.com
43,Aqua City Plumbing & Heating,6045 Pillsbury Ave S,Minneapolis,MN,55419,6128272871,service@AquaCityPlumbing.com,
46,AAA Labor,1908 Chicago Ave,Minneapolis,MN,55404,6128712507,support@aaalabor.com,http://www.aaalabor.com
46,AAA Employment Service,,,,,,sjzimmer@aaalabor.com,
49,"Andy & George's Auto Service Center, Inc.",521 W 90th St,Bloomington,MN,55420,9528844675,aganto@goldengate.net,http://andyandgeorgesautoservice.com/
49,"CNS Enterprises MN, Inc.",,,,,,agauto@goldengate.net,
50,Morrie's Cadillac,7400 Wayzata Blvd,Golden Valley,MN,55426,,patrick.kyes@morries.com,http://www.morriescadillac.com
51,Apartment Mart,PO Box 24258,Minneapolis,MN,55424,8882545899,,http://www.apartmentmartmn.com
53,Alexander's Import Auto Repair,2904 E 35th St,Minneapolis,MN,55406,6127292516,aiari@aol.com,
54,"All Poolside Services, Inc.",121 County Road C E,Little Canada,MN,55117,6513793682,info@poolside.biz,http://www.allpoolside.com
54,Poolside,1960 Cliff Lake Rd Ste 126,Eagan,MN,55122,,randerson@poolside.biz,http://www.facebook.com/Allpoolside
56,Animal Inn Pet Resort & Spa Inc.,,,,,,info@animalinnpetresort.net,http://www.animalinnpetresort.net
60,Giese Carpet LLC,,,,,,peter@giesecarpet.com,
61,Allstate Tree Service,7510 Jackson St NE,Minneapolis,MN,55432,7632201533,info@allstatetreemn.com,http://www.allstatetreemn.com/
67,Associated Advisory Services,,,,,,cbsaa@cbsainc.com,http://www.meritain.com
67,"Corporate Benefit Services Of America,Inc.",,,,,,,
67,"CBSA Performax, A Meritain Health Company",,,,,,,
67,Meritain Health,,,,,,,
70,Associated Credit Company,516 W Franklin Ave,Minneapolis,MN,55405,6128717700,,http://www.associatedconsultantsusa.com
