firm_id,active,purge,member_status_id,member_status,member_cat_id,member_cat,application_signed,bbb_rr_url,bbir_status_id,bbir_status,business_type_id,business_type,do_not_mail,number_of_employees,number_of_locations,scope_id,scope_text,date_application_signed,date_established,state_established,date_incorporated,state_incorporated,date_joined_bbb,date_license_checked,date_standards_returned,date_file_opened,mip_status,mip_status-2,mip_date_start,mip_date_delete,outofbusiness_status,outofbusiness_status-2,outofbusiness_date,outofbusiness_status_change,deleted_date,lastupdate,termination_pending,termination_date,termination_active,hq,date_business_start,number_of_customers,annual_revenue,modifiedon,modifiedby,parent_id,date_expire,number_of_parttime,hq_type_id,deleted_pending,deleted_pending_date,date_newowner,rating_pattern,rating_pattern_date,branch_id,createdon,createdby,ischarity,number_of_seasonal,naics,public_company,establishment_type_id,tax_exempt
2,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,9,1,0.0,,,1972-04-01 00:00:00,MN,1972-04-24 00:00:00,MN,1977-07-01 00:00:00,,,1977-01-01 00:00:00,2,No,,,,,,,2021-07-27 00:00:00,2002-07-19 00:00:00,False,,False,False,1972-04-01 00:00:00,0.0,850000.0,2021-07-27 10:21:35.203,4880.0,,,0.0,,False,,,False,,,,,False,0.0,238990.0,False,,
5,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,0.0,,False,4,1,0.0,,,1946-01-01 00:00:00,MN,,,1974-04-26 00:00:00,,,1974-04-01 00:00:00,2,No,,,,,,,2000-08-15 00:00:00,2016-03-18 00:00:00,False,,False,False,1946-01-01 00:00:00,1.0,530000.0,2018-09-26 12:20:25.297,4758.0,,,0.0,,False,,,False,,,,,False,0.0,812210.0,False,0.0,
7,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,12,1,0.0,,,1968-06-22 00:00:00,MN,1968-06-22 00:00:00,MN,2008-02-28 00:00:00,,,1985-08-01 00:00:00,2,No,,,,,,,2019-05-20 00:00:00,2008-03-03 00:00:00,False,,False,False,1968-06-22 00:00:00,,10700000.0,2022-10-17 16:50:42.36,4897.0,,,,,False,,,False,,,,,False,,541320.0,False,0.0,
9,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,16.0,Incorporated,False,5,1,0.0,,,1914-01-01 00:00:00,MN,1987-08-01 00:00:00,MN,1991-03-01 00:00:00,,,1989-07-01 00:00:00,2,No,,,,,,,1991-10-29 00:00:00,2001-06-29 00:00:00,False,,False,False,1914-01-01 00:00:00,0.0,0.0,2019-10-11 10:07:55.813,4873.0,,,0.0,,False,,,False,,,,,False,0.0,621320.0,False,,
10,False,False,10,Central,1,Not Accredited,False,,0.0,,0.0,,True,10,1,0.0,,,1969-01-01 00:00:00,MN,1969-01-01 00:00:00,MN,1972-08-09 00:00:00,,,1972-08-01 00:00:00,2,No,,,2.0,Believed to be Out of Business,2005-04-14 00:00:00,2017-10-17 13:13:16.013,2009-05-05 00:00:00,2013-09-21 00:00:00,False,,False,False,1969-01-01 00:00:00,0.0,440000.0,2018-03-18 09:11:46.377,4849.0,,,0.0,0.0,False,,,False,,,,,False,0.0,484210.0,False,,
14,False,False,19,Twin Cities Metro,1,Not Accredited,False,,,,,,False,1,1,,,,1855-01-01 00:00:00,,,,1971-06-01 00:00:00,,,1971-06-01 00:00:00,2,No,,,,,,,1999-11-03 00:00:00,2013-01-08 00:00:00,False,,False,False,1855-01-01 00:00:00,,0.0,2017-06-12 13:21:53.637,4875.0,,,,,False,,,False,,,,,False,,452319.0,False,,
18,True,False,19,Twin Cities Metro,1,Not Accredited,False,,0.0,,1.0,Corporation,False,8000,1,0.0,,,1903-01-01 00:00:00,MN,,,1984-08-07 00:00:00,,,1984-08-01 00:00:00,2,No,,,,,,,2007-09-19 00:00:00,2010-06-08 00:00:00,False,,False,True,1903-01-01 00:00:00,0.0,916200000.0,2018-10-24 15:56:21.65,7860.0,,,0.0,0.0,False,,,False,,,,,False,0.0,444190.0,False,0.0,
19,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,3.0,Sole Proprietorship,False,1,1,0.0,,,1999-06-04 00:00:00,MN,,,2004-12-20 00:00:00,,,1984-07-01 00:00:00,2,No,2004-12-20 00:00:00,2006-03-01 00:00:00,,,,,2006-03-01 00:00:00,2004-12-20 00:00:00,False,,False,False,1999-06-04 00:00:00,0.0,65000.0,2019-04-24 15:04:52.847,4870.0,,,0.0,,False,,,False,,,,,False,0.0,811121.0,False,0.0,
22,True,False,19,Twin Cities Metro,1,Not Accredited,False,,,,1.0,Corporation,False,25,1,0.0,,,1979-03-01 00:00:00,MN,1979-09-04 00:00:00,,1980-10-01 00:00:00,,,1980-09-01 00:00:00,4,Membership was Deleted,2008-08-26 00:00:00,2020-02-21 00:00:00,,,,,2020-02-21 00:00:00,2012-07-02 00:00:00,False,,False,False,1979-03-01 00:00:00,400.0,2600000.0,2020-02-21 11:58:10.727,4880.0,,,0.0,,False,,,False,,,,,False,0.0,238990.0,False,,
29,True,False,19,Twin Cities Metro,1,Not Accredited,False,,4.0,BP Sent,0.0,,False,121,1,0.0,,,1924-01-01 00:00:00,MN,,,1985-07-15 00:00:00,,,1985-07-01 00:00:00,2,No,,,,,,,1998-02-03 00:00:00,2001-06-29 00:00:00,False,,False,False,1924-01-01 00:00:00,0.0,32200000.0,2023-07-24 12:33:20.26,4897.0,,,0.0,,False,,,False,,,,,False,0.0,442210.0,False,0.0,
