phone_id,firm_id,address_id_p,phone_type_id,phone,main,display_rr,roster,verified,verifiedon,modifiedon,createdon,note,sms,verifiednote,phone_country
1,2,1,1,6512224355,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
2,5,3,1,9529149410,FALSE,FALSE,FALSE,FALSE,,01:12.7,01:12.7,,FALSE,,
3,5,3,1,6128711418,FALSE,FALSE,FALSE,FALSE,,01:12.7,01:12.7, Mpls Location,FALSE,,
4,5,5,1,6122700491,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
5,7,6,1,6516334510,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
8,9,,1,6512242883,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
9,9,9,1,7632242883,FALSE,FALSE,FALSE,FALSE,,01:12.7,01:12.7,,FALSE,,
10,9,8,1,6516451976,FALSE,FALSE,FALSE,FALSE,,,,(OLD INFO),FALSE,,
11,10,11,1,9529350331,FALSE,TRUE,TRUE,FALSE,,8/1/72 0:00,,,FALSE,,
12,10,11,1,6129913264,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, Bill Nelson cell phone,FALSE,,
14,14,,1,6516901567,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, ST PAUL,FALSE,,
15,14,,1,6126901567,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, ST PAUL,FALSE,,
16,14,,1,9529278808,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, EDINA,FALSE,,
18,18,,1,8888887020,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
25,19,17,1,7635593292,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
26,19,17,1,7633508716,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
27,22,180657,1,6514841696,TRUE,TRUE,TRUE,FALSE,,,,,FALSE,,
29,22,180657,1,6124368589,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,
31,29,20,1,6123314880,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
32,30,23,1,6519170000,TRUE,TRUE,TRUE,TRUE,04:46.4,,,,FALSE,,
33,30,22,1,8002387870,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, Florida office,FALSE,,
34,30,,1,6513390987,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7, customer monitoring cent,FALSE,,
35,31,,1,6082492111,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
36,31,,1,9529334446,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
37,31,,1,8668814318,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
38,31,27,1,6082424100,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
39,31,27,1,8006926326,FALSE,TRUE,TRUE,FALSE,,12/1/75 0:00,,,FALSE,,
40,32,31,1,6127889087,TRUE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,,FALSE,,
41,32,,1,6122933978,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7,Imported from MN SOS,FALSE,,
43,34,,1,4506746161,FALSE,TRUE,TRUE,FALSE,,01:12.7,01:12.7," Canada, Corporate",FALSE,,
44,34,0,1,9529290501,TRUE,TRUE,TRUE,FALSE,,9/1/84 0:00,, Edina Location,FALSE,,
46,36,38,1,6127241272,FALSE,FALSE,FALSE,FALSE,,,,,FALSE,,1
47,36,38,1,9524451387,TRUE,TRUE,TRUE,TRUE,32:56.9,,,Shakopee,FALSE,,1
