ID,firm_id,company_name,condensed_name,main,legal,full_address,city,state,zip,zip_4,phone,email,url
1,2,"Able Fence, Inc.",ablefenceinc,TRUE,TRUE,78 Acker St E ,Saint Paul,MN,55117,5507,6512224355,,http://www.albinchapel.com/
2,5,Albin Chapel,albinchapel,FALSE,FALSE,2200 Nicollet Ave ,Minneapolis,MN,55404,3301,9529149410,office@albinchapel.com,
3,5,Albin Funeral Chapel Inc,albinfuneralchapelinc,FALSE,FALSE,6855 Rowland Rd ,Eden Prairie,MN,55344,3209,6128711418,jimalbinson@gmail.com,http://www.arthurwilliamsoptical.com/
4,5,"Albin Endeavor, Inc.",albinendeavorinc,TRUE,TRUE,PO Box 46147 ,Eden Prairie,MN,55344,2847,6122700491,,
5,7,Albrecht Company,albrechtcompany,TRUE,FALSE,2024 Blackberry Ln ,Wayzata,MN,55391,2006,6516334510,mail@albrechtcompany.com,http://www.ablemovers.net
6,7,"Albrecht Enterprises, LLC",albrechtenterprisesllc,FALSE,TRUE,1408 County Road C W ,Roseville,MN,55113,3198,,edward@albrechtcompany.com,http://www.andersencorp.com
7,,,,,,,,,,,,arthurwilliamsoptical@gmail.com,
8,9,Arthur Williams Opticians,arthurwilliamsopticians,FALSE,FALSE,366 Saint Peter St ,Saint Paul,MN,55102,1302,6512242883,ablemovers@izoom.net,
9,9,Arthur Williams Optical Inc,arthurwilliamsopticalinc,FALSE,FALSE,772 Cleveland Ave S ,Saint Paul,MN,55116,1347,7632242883,donna.dingle@andersencorp.com,http://www.asphaltmn.com
10,10,Able Movers LLC,ablemoversllc,TRUE,TRUE,14601 Spring Lake Rd ,Minnetonka,MN,55345,2349,6516451976,,http://asphaltmn.com
11,10,Able Moving & Storage Inc,ablemovingandstorageinc,FALSE,FALSE,,,,,,9529350331,jennifer.lamson@andersen.com,
12,10,Able Transfer,abletransfer,FALSE,FALSE,12285 Rush Cir NW ,Elk River,MN,55330,8245,6129913264,mitch@asphaltmn.com,http://twitter.com/asphaltmn
13,14,Albrechts,albrechts,TRUE,TRUE,,,,,,,office@asphaltmn.com,http://www.facebook.com/asphaltmn
14,18,Andersen Corporation,andersencorporation,TRUE,TRUE,680 Cleveland Ave S ,Saint Paul,MN,55116,1218,6516901567,sales@act-asphaltspecialties.com,
15,18,Andersen Windows Inc,andersenwindowsinc,FALSE,FALSE,100 4th Ave N ,Bayport,MN,55003,1096,6126901567,ed@6514841696.com,http://www.adt.com
16,18,Emco Enterprises Inc,emcoenterprisesinc,FALSE,FALSE,39811 Golden Ave ,North Branch,MN,55056,,9529278808,erik@act-asphaltspecialties.com,http://www.amfam.com
17,,,,,,13118 Tyler St NE ,Blaine,MN,55434,3240,,consumeraffairs@amfam.com,http://www.stanthonyautorepair.com/
18,18,Eagle Window and Door,eaglewindowanddoor,FALSE,FALSE,547 County Road E W Ste 205 ,Shoreview,MN,55126,7049,8888887020,jtuzun@amfam.com,http://www.autoelectricmn.com
19,19,Appearance Reconditioning Co.,appearancereconditioningco,TRUE,TRUE,,,,,,,,http://www.citywideinsul.com
20,22,A.C.T.  Asphalt Specialties Company,actasphaltspecialtiescompany,FALSE,FALSE,430 Industrial Blvd NE ,Minneapolis,MN,55413,2979,,ehledoux@helixhca.com,http://www.aquacityplumbing.com
21,22,A C T Specialties,actspecialties,FALSE,FALSE,5910 Rice Creek Pkwy STE 700 ,Shoreview,MN,55126,5023,,jgeyen@citywideinsul.com,http://www.aaalabor.com
22,22,Asphalt Specialties Company,asphaltspecialtiescompany,TRUE,TRUE,1 Town Center Rd ,Boca Raton,FL,33486,1002,,jodytravelagent@yahoo.com,
23,,,,,,14200 E Exposition Ave Stop 2 Accounts Payable-,Aurora,CO,80012,2540,,info@aquacityplumbing.com,
24,29,Anderson Ladd Floors,andersonladdfloors,FALSE,FALSE,14200 E. Exposition Ave. ,Aurora,CO,80012,2540,,service@AquaCityPlumbing.com,http://andyandgeorgesautoservice.com/
25,29,Anderson-Ladd,andersonladd,FALSE,FALSE,PO Box 310700 ,Boca Raton,FL,33431,700,7635593292,dave@aquacityplumbing.com,http://www.morriescadillac.com
26,29,Haldeman Homme Inc,haldemanhommeinc,FALSE,FALSE,4411 Beacon Cir Ste 4 ,West Palm Beach,FL,33407,3270,7633508716,support@aaalabor.com,http://www.apartmentmartmn.com
27,,,,,,6131 Blue Circle Dr ,Eden Prairie,MN,55343,9108,6514841696,sjzimmer@aaalabor.com,
28,30,A D T Security Services,adtsecurityservices,FALSE,FALSE,PO Box 9462 ,Minneapolis,MN,55440,9462,,,http://www.allpoolside.com
29,30,American District Telegraph,americandistricttelegraph,FALSE,FALSE,PO Box 9436 ,Minneapolis,MN,55440,9436,6124368589,,http://www.facebook.com/Allpoolside
30,30,ADT Security Services,adtsecurityservices,FALSE,FALSE,,,,,,,aganto@goldengate.net,http://www.animalinnpetresort.net
31,30,"ADT, LLC",adtllc,TRUE,TRUE,3009 37th Ave NE ,St Anthony,MN,55421,4301,6123314880,agauto@goldengate.net,http://www.facebook.com/pages/Animal-Inn-Pet-Resort-Spa/150482981654331
32,31,American Family Insurance Group - Headquarters,americanfamilyinsurancegroupheadquarters,TRUE,TRUE,3800 W Broadway Ave ,Minneapolis,MN,55422,2208,6519170000,,http://twitter.com/AnimalInnPetRes
33,31,American Family Mutual Insurance Company,americanfamilymutualinsurancecompany,FALSE,FALSE,,,,,,8002387870,patrick.kyes@morries.com,http://www.moundsview.abbeycarpet.com
