ID,firm_id,company_name,condensed_name,main,legal,address_1,address_2,city,state,zip,zip_4,phone,email,url
1,2.0,"Able Fence, Inc.",ablefenceinc,True,True,78 Acker St E,,Saint Paul,MN,55117.0,5507.0,6512224355.0,,http://www.albinchapel.com/
2,5.0,Albin Chapel,albinchapel,False,False,2200 Nicollet Ave,,Minneapolis,MN,55404.0,3301.0,9529149410.0,office@albinchapel.com,
3,5.0,Albin Funeral Chapel Inc,albinfuneralchapelinc,False,False,6855 Rowland Rd,,Eden Prairie,MN,55344.0,3209.0,6128711418.0,jimalbinson@gmail.com,http://www.arthurwilliamsoptical.com/
4,5.0,"Albin Endeavor, Inc.",albinendeavorinc,True,True,PO Box 46147,,Eden Prairie,MN,55344.0,2847.0,6122700491.0,,
5,7.0,Albrecht Company,albrechtcompany,True,False,2024 Blackberry Ln,,Wayzata,MN,55391.0,2006.0,6516334510.0,mail@albrechtcompany.com,http://www.ablemovers.net
6,7.0,"Albrecht Enterprises, LLC",albrechtenterprisesllc,False,True,1408 County Road C W,,Roseville,MN,55113.0,3198.0,,edward@albrechtcompany.com,http://www.andersencorp.com
7,,,,,,,,,,,,,arthurwilliamsoptical@gmail.com,
8,9.0,Arthur Williams Opticians,arthurwilliamsopticians,False,False,366 Saint Peter St,,Saint Paul,MN,55102.0,1302.0,6512242883.0,ablemovers@izoom.net,
9,9.0,Arthur Williams Optical Inc,arthurwilliamsopticalinc,False,False,772 Cleveland Ave S,,Saint Paul,MN,55116.0,1347.0,7632242883.0,donna.dingle@andersencorp.com,http://www.asphaltmn.com
10,10.0,Able Movers LLC,ablemoversllc,True,True,14601 Spring Lake Rd,,Minnetonka,MN,55345.0,2349.0,6516451976.0,,http://asphaltmn.com
11,10.0,Able Moving & Storage Inc,ablemovingandstorageinc,False,False,,,,,,,9529350331.0,jennifer.lamson@andersen.com,
12,10.0,Able Transfer,abletransfer,False,False,12285 Rush Cir NW,,Elk River,MN,55330.0,8245.0,6129913264.0,mitch@asphaltmn.com,http://twitter.com/asphaltmn
