firm_id,company_name,address,city,state,zip,phone,email,url
2,"Able Fence, Inc.",78 Acker St E,Saint Paul,MN,55117.0,6512224355.0,,
5,Albin Chapel,2200 Nicollet Ave,Minneapolis,MN,55404.0,,office@albinchapel.com,http://www.albinchapel.com/
5,Albin Funeral Chapel Inc,6855 Rowland Rd,Eden Prairie,MN,55344.0,9529149410.0,jimalbinson@gmail.com,
5,"Albin Endeavor, Inc.",PO Box 46147,Eden Prairie,MN,55344.0,,,
7,Albrecht Company,1408 County Road C W,Roseville,MN,55113.0,6516334510.0,mail@albrechtcompany.com,
7,"Albrecht Enterprises, LLC",,,,,,edward@albrechtcompany.com,
9,Arthur Williams Opticians,366 Saint Peter St,Saint Paul,MN,55102.0,6516451976.0,arthurwilliamsoptical@gmail.com,http://www.arthurwilliamsoptical.com/
9,Arthur Williams Optical Inc,772 Cleveland Ave S,Saint Paul,MN,55116.0,7632242883.0,,
10,Able Moving & Storage Inc,12285 Rush Cir NW,Elk River,MN,55330.0,,,
10,Able Transfer,,,,,,,
14,Albrechts,680 Cleveland Ave S,Saint Paul,MN,55116.0,,,
18,Andersen Corporation,100 4th Ave N,Bayport,MN,55003.0,,donna.dingle@andersencorp.com,http://www.andersencorp.com
18,Andersen Windows Inc,39811 Golden Ave,North Branch,MN,55056.0,,jennifer.lamson@andersen.com,
18,Emco Enterprises Inc,,,,,,,
18,Eagle Window and Door,,,,,,,
19,Appearance Reconditioning Co.,13118 Tyler St NE,Blaine,MN,55434.0,7635593292.0,,
22,A.C.T.  Asphalt Specialties Company,547 County Road E W Ste 205,Shoreview,MN,55126.0,,mitch@asphaltmn.com,http://www.asphaltmn.com
22,A C T Specialties,,,,,,office@asphaltmn.com,http://asphaltmn.com
22,Asphalt Specialties Company,,,,,,sales@act-asphaltspecialties.com,http://twitter.com/asphaltmn
29,Anderson Ladd Floors,430 Industrial Blvd NE,Minneapolis,MN,55413.0,6123314880.0,,
29,Anderson-Ladd,,,,,,,
29,Haldeman Homme Inc,,,,,,,
30,A D T Security Services,5910 Rice Creek Pkwy STE 700,Shoreview,MN,55126.0,,,http://www.adt.com
