firm_id,company_name,address_1,city,state,zip,address_id_a,phone,address_id_p,email,email_id,url,occurrence_order,outofbusiness_status-2
2,"Able Fence, Inc.",78 Acker St E,Saint Paul,MN,55117.0,1.0,6512224355.0,1.0,,,,0,
5,Albin Chapel,2200 Nicollet Ave,Minneapolis,MN,55404.0,2.0,,,office@albinchapel.com,2.0,http://www.albinchapel.com/,0,
5,Albin Funeral Chapel Inc,6855 Rowland Rd,Eden Prairie,MN,55344.0,3.0,9529149410.0,3.0,jimalbinson@gmail.com,3.0,,1,
5,"Albin Endeavor, Inc.",PO Box 46147,Eden Prairie,MN,55344.0,4.0,,,,,,2,
7,Albrecht Company,1408 County Road C W,Roseville,MN,55113.0,6.0,6516334510.0,6.0,mail@albrechtcompany.com,5.0,,0,
7,"Albrecht Enterprises, LLC",,,,,,,,edward@albrechtcompany.com,6.0,,1,
9,Arthur Williams Opticians,366 Saint Peter St,Saint Paul,MN,55102.0,8.0,6516451976.0,8.0,arthurwilliamsoptical@gmail.com,7.0,http://www.arthurwilliamsoptical.com/,0,
9,Arthur Williams Optical Inc,772 Cleveland Ave S,Saint Paul,MN,55116.0,9.0,7632242883.0,9.0,,,,1,
10,Able Movers LLC,14601 Spring Lake Rd,Minnetonka,MN,55345.0,10.0,,,ablemovers@izoom.net,8.0,http://www.ablemovers.net,0,Believed to be Out of Business
10,Able Moving & Storage Inc,12285 Rush Cir NW,Elk River,MN,55330.0,12.0,,,,,,1,
10,Able Transfer,,,,,,,,,,,2,
14,Albrechts,680 Cleveland Ave S,Saint Paul,MN,55116.0,14.0,,,,,,0,
18,Andersen Corporation,100 4th Ave N,Bayport,MN,55003.0,15.0,,,donna.dingle@andersencorp.com,9.0,http://www.andersencorp.com,0,
18,Andersen Windows Inc,39811 Golden Ave,North Branch,MN,55056.0,16.0,,,jennifer.lamson@andersen.com,11.0,,1,
18,Emco Enterprises Inc,,,,,,,,,,,2,
18,Eagle Window and Door,,,,,,,,,,,3,
19,Appearance Reconditioning Co.,13118 Tyler St NE,Blaine,MN,55434.0,17.0,7635593292.0,17.0,,,,0,
22,A.C.T.  Asphalt Specialties Company,547 County Road E W Ste 205,Shoreview,MN,55126.0,18.0,,,mitch@asphaltmn.com,12.0,http://www.asphaltmn.com,0,
22,A C T Specialties,,,,,,,,office@asphaltmn.com,13.0,http://asphaltmn.com,1,
22,Asphalt Specialties Company,,,,,,,,sales@act-asphaltspecialties.com,14.0,http://twitter.com/asphaltmn,2,
29,Anderson Ladd Floors,430 Industrial Blvd NE,Minneapolis,MN,55413.0,20.0,6123314880.0,20.0,,,,0,
29,Anderson-Ladd,,,,,,,,,,,1,
