,Name,Phone Number,Address,Website,Last Reviewed,Rating
0,Starbucks,(507) 389-2812,"7 Centennial Student Union, Mankato, MN 56001, USA",https://www.starbucks.com/store-locator/store/1040270/minnesota-state-university-7-centennial-student-union-mankato-mn-56001-us,2023-10-25 19:30:09,2.3
1,Starbucks Coffee,(507) 995-0260,"1002 Old Minnesota Ave, St Peter, MN 56082, USA",https://www.starbucks.com/store-locator,2024-01-20 20:59:19,4.0
2,Starbucks,(507) 625-8900,"1872 Madison Ave, Mankato, MN 56001, USA",https://www.starbucks.com/store-locator/store/1006987/,2024-02-25 23:01:12,4.3
3,Starbucks,(507) 625-9070,"2010 Adams St, Mankato, MN 56001, USA",https://www.starbucks.com/store-locator/store/15984,2024-01-31 15:14:36,3.8
4,Starbucks,(507) 625-1011,"1850 Adams St, Mankato, MN 56001, USA",https://www.starbucks.com/store-locator/store/1022302,2023-12-28 16:16:01,4.0
5,Starbucks,(507) 283-7533,"1715 Lor Ray Dr, North Mankato, MN 56003, USA",,2024-02-09 04:59:15,4.5
6,Starbucks,(612) 240-6653,"19285 MN-7, Shorewood, MN 55331, USA",https://www.starbucks.com/store-locator/store/1018182,2023-12-23 16:58:48,3.8
7,Starbucks,(952) 938-3604,"1505 MN-7, Hopkins, MN 55305, USA",https://www.starbucks.com/store-locator/store/9584/,2024-03-11 16:16:50,4.0
8,Starbucks,(507) 645-4777,"2323 2nd Ave NW, Northfield, MN 55057, USA",https://www.starbucks.com/store-locator/store/113727,2024-03-13 18:36:24,4.0
9,Starbucks,(952) 935-9641,"8900 MN-7, St Louis Park, MN 55426, USA",https://www.starbucks.com/store-locator/store/10144,2023-12-01 06:29:50,2.9
10,Starbucks,(612) 378-7765,"The Graduate Hotel, 615 Washington Ave SE, Minneapolis, MN 55414, USA",https://www.starbucks.com/store-locator/store/12486/,2023-12-27 16:11:33,4.2
11,Starbucks,(763) 767-6833,"1384 109th Ave NE, Minneapolis, MN 55434, USA",https://www.starbucks.com/store-locator/store/1008734/,2023-11-17 02:41:33,4.2
12,Starbucks,(507) 455-3624,"641 W Bridge St, Owatonna, MN 55060, USA",https://www.starbucks.com/store-locator/store/16173/,2024-03-08 04:25:45,4.1
13,Starbucks,(952) 226-1444,"14333 State Hwy 13, Savage, MN 55378, USA",https://www.starbucks.com/store-locator/store/12799,2024-03-11 23:12:31,4.1
14,Starbucks,(507) 451-1882,"301 Park Dr, Owatonna, MN 55060, USA",https://www.starbucks.com/store-locator/store/1005916,2024-02-03 04:37:31,4.2
15,Starbucks,(952) 944-0700,"8225 Flying Cloud Dr, Eden Prairie, MN 55344, USA",https://www.starbucks.com/store-locator/store/1020351,2023-04-23 15:17:47,2.6
16,Starbucks,(612) 869-9839,"704 W 78th St, Richfield, MN 55423, USA",https://www.starbucks.com/store-locator/store/16771/,2024-01-16 04:49:21,4.1
17,Starbucks,(651) 356-2678,"100 Hennepin Ave, Minneapolis, MN 55401, USA",https://www.starbucks.com/store-locator/store/1018307,2024-02-23 11:53:16,4.3
18,Starbucks,(651) 631-3089,"1820 Fairview Avenue North Hwy 36 & Fairview, Roseville, MN 55113, USA",https://www.starbucks.com/store-locator/store/6680/,2024-02-02 15:04:02,4.3
19,Starbucks,(952) 926-8855,"3601 MN-100, St Louis Park, MN 55416, USA",https://www.starbucks.com/store-locator/store/1017723,2023-11-03 15:44:57,4.0
